stockcode,description,year,week,abc_class,total_quantity,total_revenue,transaction_count
10133,COLOURING PENCILS BROWN TUBE,2011,9,B,56,49.16,6
10133,COLOURING PENCILS BROWN TUBE,2011,10,B,2,1.7,1
10133,COLOURING PENCILS BROWN TUBE,2011,13,B,30,25.5,2
10133,COLOURING PENCILS BROWN TUBE,2011,14,B,1,1.63,1
10133,COLOURING PENCILS BROWN TUBE,2011,15,B,70,59.5,1
10133,COLOURING PENCILS BROWN TUBE,2011,16,B,5,4.25,1
10133,COLOURING PENCILS BROWN TUBE,2011,18,B,11,9.35,2
10133,COLOURING PENCILS BROWN TUBE,2011,19,B,20,17.0,1
10133,COLOURING PENCILS BROWN TUBE,2011,20,B,2,1.7,1
10133,COLOURING PENCILS BROWN TUBE,2011,22,B,21,14.329999999999998,3
10133,COLOURING PENCILS BROWN TUBE,2011,23,B,174,73.49000000000001,12
10133,COLOURING PENCILS BROWN TUBE,2011,24,B,132,62.0,11
10133,COLOURING PENCILS BROWN TUBE,2011,25,B,123,63.54,11
10133,COLOURING PENCILS BROWN TUBE,2011,26,B,110,67.52,7
10133,COLOURING PENCILS BROWN TUBE,2011,27,B,202,109.44,17
10133,COLOURING PENCILS BROWN TUBE,2011,28,B,215,100.14,15
10133,COLOURING PENCILS BROWN TUBE,2011,29,B,219,107.97,7
10133,COLOURING PENCILS BROWN TUBE,2011,30,B,160,84.83,11
10133,COLOURING PENCILS BROWN TUBE,2011,31,B,170,79.6,8
10133,COLOURING PENCILS BROWN TUBE,2011,32,B,92,68.16,3
10133,COLOURING PENCILS BROWN TUBE,2011,33,B,245,102.9,9
10133,COLOURING PENCILS BROWN TUBE,2011,34,B,225,94.5,7
10133,COLOURING PENCILS BROWN TUBE,2011,35,B,208,105.4,17
10133,COLOURING PENCILS BROWN TUBE,2011,36,B,30,12.600000000000001,2
10135,COLOURING PENCILS BROWN TUBE,2010,48,B,23,31.27,5
10135,COLOURING PENCILS BROWN TUBE,2010,49,B,28,51.38,8
10135,COLOURING PENCILS BROWN TUBE,2010,50,B,306,141.06,13
10135,COLOURING PENCILS BROWN TUBE,2010,51,B,54,55.31,5
10135,COLOURING PENCILS BROWN TUBE,2011,1,B,225,150.4,13
10135,COLOURING PENCILS BROWN TUBE,2011,2,B,116,96.58000000000001,11
10135,COLOURING PENCILS BROWN TUBE,2011,3,B,260,225.4,16
10135,COLOURING PENCILS BROWN TUBE,2011,4,B,12,15.0,2
10135,COLOURING PENCILS BROWN TUBE,2011,5,B,1,2.46,1
10135,COLOURING PENCILS BROWN TUBE,2011,6,B,1,2.46,1
10135,COLOURING PENCILS BROWN TUBE,2011,7,B,51,48.36,5
10135,COLOURING PENCILS BROWN TUBE,2011,8,B,216,239.26,4
10135,COLOURING PENCILS BROWN TUBE,2011,9,B,24,30.0,4
10135,COLOURING PENCILS BROWN TUBE,2011,10,B,2,2.5,1
10135,COLOURING PENCILS BROWN TUBE,2011,11,B,92,65.2,3
10135,COLOURING PENCILS BROWN TUBE,2011,12,B,2,2.5,1
10135,COLOURING PENCILS BROWN TUBE,2011,13,B,18,23.71,4
10135,COLOURING PENCILS BROWN TUBE,2011,15,B,10,12.5,1
10135,COLOURING PENCILS BROWN TUBE,2011,16,B,3,3.75,1
10135,COLOURING PENCILS BROWN TUBE,2011,18,B,5,12.3,1
10135,COLOURING PENCILS BROWN TUBE,2011,20,B,8,10.0,2
10135,COLOURING PENCILS BROWN TUBE,2011,22,B,11,13.75,2
10135,COLOURING PENCILS BROWN TUBE,2011,23,B,10,12.5,1
10135,COLOURING PENCILS BROWN TUBE,2011,24,B,11,13.75,2
10135,COLOURING PENCILS BROWN TUBE,2011,25,B,23,28.75,3
10135,COLOURING PENCILS BROWN TUBE,2011,26,B,100,125.0,1
10135,COLOURING PENCILS BROWN TUBE,2011,27,B,12,15.0,2
10135,COLOURING PENCILS BROWN TUBE,2011,28,B,45,56.25,4
10135,COLOURING PENCILS BROWN TUBE,2011,29,B,10,12.5,1
10135,COLOURING PENCILS BROWN TUBE,2011,30,B,10,12.5,1
10135,COLOURING PENCILS BROWN TUBE,2011,31,B,102,108.5,2
10135,COLOURING PENCILS BROWN TUBE,2011,33,B,40,50.0,1
10135,COLOURING PENCILS BROWN TUBE,2011,34,B,10,12.5,1
10135,COLOURING PENCILS BROWN TUBE,2011,35,B,10,12.5,1
10135,COLOURING PENCILS BROWN TUBE,2011,36,B,10,12.5,1
10135,COLOURING PENCILS BROWN TUBE,2011,37,B,20,26.21,3
10135,COLOURING PENCILS BROWN TUBE,2011,38,B,25,37.3,3
10135,COLOURING PENCILS BROWN TUBE,2011,39,B,5,11.09,3
10135,COLOURING PENCILS BROWN TUBE,2011,40,B,5,12.3,1
10135,COLOURING PENCILS BROWN TUBE,2011,41,B,6,12.34,3
10135,COLOURING PENCILS BROWN TUBE,2011,42,B,21,27.46,2
10135,COLOURING PENCILS BROWN TUBE,2011,43,B,33,41.25,5
10135,COLOURING PENCILS BROWN TUBE,2011,44,B,47,27.59,6
10135,COLOURING PENCILS BROWN TUBE,2011,45,B,36,52.26,5
10135,COLOURING PENCILS BROWN TUBE,2011,46,B,35,61.9,3
10135,COLOURING PENCILS BROWN TUBE,2011,47,B,37,41.09,7
10135,COLOURING PENCILS BROWN TUBE,2011,48,B,61,89.56,5
10135,COLOURING PENCILS BROWN TUBE,2011,49,B,39,59.64,4
11001,ASSTD DESIGN RACING CAR PEN,2010,48,B,19,37.12,2
11001,ASSTD DESIGN RACING CAR PEN,2010,49,B,35,62.489999999999995,5
11001,ASSTD DESIGN RACING CAR PEN,2010,50,B,19,35.45,3
11001,ASSTD DESIGN RACING CAR PEN,2010,51,B,1,3.36,1
11001,ASSTD DESIGN RACING CAR PEN,2011,1,B,32,54.08,2
11001,ASSTD DESIGN RACING CAR PEN,2011,2,B,1,3.36,1
11001,ASSTD DESIGN RACING CAR PEN,2011,6,B,10,32.9,1
11001,ASSTD DESIGN RACING CAR PEN,2011,7,B,16,27.04,1
11001,ASSTD DESIGN RACING CAR PEN,2011,10,B,1,3.29,1
11001,ASSTD DESIGN RACING CAR PEN,2011,11,B,2,6.58,1
11001,ASSTD DESIGN RACING CAR PEN,2011,12,B,1,1.69,1
11001,ASSTD DESIGN RACING CAR PEN,2011,13,B,64,108.16,3
11001,ASSTD DESIGN RACING CAR PEN,2011,14,B,3,5.07,1
11001,ASSTD DESIGN RACING CAR PEN,2011,15,B,1,1.69,1
11001,ASSTD DESIGN RACING CAR PEN,2011,16,B,16,27.04,1
11001,ASSTD DESIGN RACING CAR PEN,2011,18,B,32,54.08,1
11001,ASSTD DESIGN RACING CAR PEN,2011,19,B,16,27.04,1
11001,ASSTD DESIGN RACING CAR PEN,2011,21,B,48,81.12,3
11001,ASSTD DESIGN RACING CAR PEN,2011,22,B,16,27.04,1
11001,ASSTD DESIGN RACING CAR PEN,2011,24,B,35,59.15,4
11001,ASSTD DESIGN RACING CAR PEN,2011,25,B,48,81.12,2
11001,ASSTD DESIGN RACING CAR PEN,2011,26,B,118,111.69999999999999,3
11001,ASSTD DESIGN RACING CAR PEN,2011,27,B,111,92.13,11
11001,ASSTD DESIGN RACING CAR PEN,2011,28,B,37,38.45,7
11001,ASSTD DESIGN RACING CAR PEN,2011,29,B,56,60.24,6
11001,ASSTD DESIGN RACING CAR PEN,2011,30,B,16,27.04,1
11001,ASSTD DESIGN RACING CAR PEN,2011,31,B,385,490.97,2
11001,ASSTD DESIGN RACING CAR PEN,2011,32,B,80,101.6,1
11001,ASSTD DESIGN RACING CAR PEN,2011,33,B,2,3.38,1
11001,ASSTD DESIGN RACING CAR PEN,2011,34,B,32,54.08,2
11001,ASSTD DESIGN RACING CAR PEN,2011,35,B,48,81.12,3
11001,ASSTD DESIGN RACING CAR PEN,2011,36,B,5,8.45,1
11001,ASSTD DESIGN RACING CAR PEN,2011,37,B,7,11.83,1
11001,ASSTD DESIGN RACING CAR PEN,2011,38,B,20,38.599999999999994,4
11001,ASSTD DESIGN RACING CAR PEN,2011,39,B,16,27.04,1
11001,ASSTD DESIGN RACING CAR PEN,2011,40,B,41,78.89,4
11001,ASSTD DESIGN RACING CAR PEN,2011,41,B,52,94.28,4
11001,ASSTD DESIGN RACING CAR PEN,2011,42,B,19,36.91,2
11001,ASSTD DESIGN RACING CAR PEN,2011,43,B,1,1.69,1
11001,ASSTD DESIGN RACING CAR PEN,2011,44,B,19,36.91,3
11001,ASSTD DESIGN RACING CAR PEN,2011,45,B,34,59.059999999999995,3
11001,ASSTD DESIGN RACING CAR PEN,2011,46,B,24,50.16,4
11001,ASSTD DESIGN RACING CAR PEN,2011,47,B,51,90.99,5
11001,ASSTD DESIGN RACING CAR PEN,2011,48,B,20,38.599999999999994,3
11001,ASSTD DESIGN RACING CAR PEN,2011,49,B,5,16.45,3
15030,FAN BLACK FRAME,2011,12,C,5,1.45,1
15030,FAN BLACK FRAME,2011,26,C,14,4.06,2
15030,FAN BLACK FRAME,2011,27,C,20,5.8,1
15030,FAN BLACK FRAME,2011,28,C,5,1.45,1
15030,FAN BLACK FRAME,2011,29,C,60,17.4,1
15030,FAN BLACK FRAME,2011,33,C,2,0.58,1
15030,FAN BLACK FRAME,2011,39,C,3,0.87,1
15030,FAN BLACK FRAME,2011,43,C,10,2.9,1
15030,FAN BLACK FRAME,2011,45,C,22,6.38,2
15030,FAN BLACK FRAME,2011,49,C,2,0.58,1
15034,PAPER POCKET TRAVELING FAN,2010,48,B,2,0.28,2
15034,PAPER POCKET TRAVELING FAN,2010,49,B,27,5.91,4
15034,PAPER POCKET TRAVELING FAN,2010,50,B,14,3.38,2
15034,PAPER POCKET TRAVELING FAN,2010,51,B,2,1.7,1
15034,PAPER POCKET TRAVELING FAN,2011,1,B,169,24.37,2
15034,PAPER POCKET TRAVELING FAN,2011,2,B,5,4.19,2
15034,PAPER POCKET TRAVELING FAN,2011,3,B,3,2.4899999999999998,2
15034,PAPER POCKET TRAVELING FAN,2011,5,B,24,3.36,1
15034,PAPER POCKET TRAVELING FAN,2011,6,B,8,6.640000000000001,2
15034,PAPER POCKET TRAVELING FAN,2011,8,B,48,6.72,1
15034,PAPER POCKET TRAVELING FAN,2011,9,B,39,7.53,3
15034,PAPER POCKET TRAVELING FAN,2011,10,B,12,1.68,1
15034,PAPER POCKET TRAVELING FAN,2011,11,B,48,6.72,1
15034,PAPER POCKET TRAVELING FAN,2011,12,B,24,3.36,1
15034,PAPER POCKET TRAVELING FAN,2011,15,B,24,3.36,1
15034,PAPER POCKET TRAVELING FAN,2011,16,B,85,12.59,6
15034,PAPER POCKET TRAVELING FAN,2011,17,B,432,43.68,4
15034,PAPER POCKET TRAVELING FAN,2011,18,B,497,73.03,3
15034,PAPER POCKET TRAVELING FAN,2011,19,B,76,13.399999999999999,6
15034,PAPER POCKET TRAVELING FAN,2011,20,B,48,6.72,1
15034,PAPER POCKET TRAVELING FAN,2011,21,B,206,30.22,8
15034,PAPER POCKET TRAVELING FAN,2011,22,B,264,20.16,2
15034,PAPER POCKET TRAVELING FAN,2011,23,B,1272,94.08000000000001,4
15034,PAPER POCKET TRAVELING FAN,2011,24,B,48,6.72,2
15034,PAPER POCKET TRAVELING FAN,2011,25,B,36,5.04,2
15034,PAPER POCKET TRAVELING FAN,2011,26,B,25,4.1899999999999995,2
15034,PAPER POCKET TRAVELING FAN,2011,27,B,3,2.4899999999999998,2
15034,PAPER POCKET TRAVELING FAN,2011,28,B,48,6.72,1
15034,PAPER POCKET TRAVELING FAN,2011,29,B,121,16.939999999999998,3
15034,PAPER POCKET TRAVELING FAN,2011,30,B,16,5.0,2
15034,PAPER POCKET TRAVELING FAN,2011,31,B,19,7.489999999999999,2
15034,PAPER POCKET TRAVELING FAN,2011,32,B,100,66.44,4
15034,PAPER POCKET TRAVELING FAN,2011,33,B,24,3.36,1
15034,PAPER POCKET TRAVELING FAN,2011,34,B,48,6.72,2
15034,PAPER POCKET TRAVELING FAN,2011,35,B,50,16.66,7
15034,PAPER POCKET TRAVELING FAN,2011,36,B,108,15.12,4
15034,PAPER POCKET TRAVELING FAN,2011,37,B,21,7.08,3
15034,PAPER POCKET TRAVELING FAN,2011,38,B,216,30.24,4
15034,PAPER POCKET TRAVELING FAN,2011,39,B,1213,86.51,3
15034,PAPER POCKET TRAVELING FAN,2011,40,B,49,7.55,2
15034,PAPER POCKET TRAVELING FAN,2011,41,B,397,56.269999999999996,3
15034,PAPER POCKET TRAVELING FAN,2011,43,B,145,20.99,4
15034,PAPER POCKET TRAVELING FAN,2011,44,B,397,56.27,5
15034,PAPER POCKET TRAVELING FAN,2011,45,B,28,6.68,5
15034,PAPER POCKET TRAVELING FAN,2011,46,B,20,7.629999999999999,5
15034,PAPER POCKET TRAVELING FAN,2011,47,B,112,15.68,5
15034,PAPER POCKET TRAVELING FAN,2011,48,B,16,5.0,3
15034,PAPER POCKET TRAVELING FAN,2011,49,B,2,1.66,2
15036,ASSORTED COLOURS SILK FAN,2010,48,A,75,57.84,6
15036,ASSORTED COLOURS SILK FAN,2010,49,A,21,20.520000000000003,7
15036,ASSORTED COLOURS SILK FAN,2010,50,A,35,32.08,6
15036,ASSORTED COLOURS SILK FAN,2010,51,A,30,25.68,4
15036,ASSORTED COLOURS SILK FAN,2011,1,A,18,16.68,4
15036,ASSORTED COLOURS SILK FAN,2011,2,A,159,133.44,9
15036,ASSORTED COLOURS SILK FAN,2011,3,A,39,36.75,3
15036,ASSORTED COLOURS SILK FAN,2011,4,A,112,86.0,6
15036,ASSORTED COLOURS SILK FAN,2011,5,A,1913,1197.25,12
15036,ASSORTED COLOURS SILK FAN,2011,6,A,68,79.16,3
15036,ASSORTED COLOURS SILK FAN,2011,7,A,762,537.9,10
15036,ASSORTED COLOURS SILK FAN,2011,8,A,128,103.03999999999999,7
15036,ASSORTED COLOURS SILK FAN,2011,9,A,91,106.09,7
15036,ASSORTED COLOURS SILK FAN,2011,10,A,369,282.03,9
15036,ASSORTED COLOURS SILK FAN,2011,11,A,1342,916.4200000000001,12
15036,ASSORTED COLOURS SILK FAN,2011,12,A,99,119.13,7
15036,ASSORTED COLOURS SILK FAN,2011,13,A,1253,868.07,7
15036,ASSORTED COLOURS SILK FAN,2011,14,A,147,134.49,7
15036,ASSORTED COLOURS SILK FAN,2011,15,A,864,651.12,11
15036,ASSORTED COLOURS SILK FAN,2011,16,A,174,158.02,16
15036,ASSORTED COLOURS SILK FAN,2011,17,A,793,593.59,7
15036,ASSORTED COLOURS SILK FAN,2011,18,A,972,749.5600000000001,12
15036,ASSORTED COLOURS SILK FAN,2011,19,A,1618,1234.94,27
15036,ASSORTED COLOURS SILK FAN,2011,20,A,1643,1238.8899999999999,22
15036,ASSORTED COLOURS SILK FAN,2011,21,A,397,416.71000000000004,10
15036,ASSORTED COLOURS SILK FAN,2011,22,A,193,183.19,12
15036,ASSORTED COLOURS SILK FAN,2011,23,A,1610,1240.7,18
15036,ASSORTED COLOURS SILK FAN,2011,24,A,1285,1063.75,19
15036,ASSORTED COLOURS SILK FAN,2011,25,A,169,160.27,17
15036,ASSORTED COLOURS SILK FAN,2011,26,A,167,147.41,8
15036,ASSORTED COLOURS SILK FAN,2011,27,A,1938,1433.74,14
15036,ASSORTED COLOURS SILK FAN,2011,28,A,352,295.36,14
15036,ASSORTED COLOURS SILK FAN,2011,29,A,510,447.3,16
15036,ASSORTED COLOURS SILK FAN,2011,30,A,638,474.74,7
15036,ASSORTED COLOURS SILK FAN,2011,31,A,943,785.8899999999999,11
15036,ASSORTED COLOURS SILK FAN,2011,32,A,268,235.24,13
15036,ASSORTED COLOURS SILK FAN,2011,33,A,60,49.800000000000004,4
15036,ASSORTED COLOURS SILK FAN,2011,34,A,60,49.800000000000004,3
15036,ASSORTED COLOURS SILK FAN,2011,35,A,181,232.15,20
15036,ASSORTED COLOURS SILK FAN,2011,36,A,215,187.25,7
15036,ASSORTED COLOURS SILK FAN,2011,37,A,64,56.32000000000001,5
15036,ASSORTED COLOURS SILK FAN,2011,38,A,93,84.39,6
15036,ASSORTED COLOURS SILK FAN,2011,39,A,30,29.700000000000003,5
15036,ASSORTED COLOURS SILK FAN,2011,40,A,721,533.23,8
15036,ASSORTED COLOURS SILK FAN,2011,41,A,224,192.32,11
15036,ASSORTED COLOURS SILK FAN,2011,42,A,194,172.22,10
15036,ASSORTED COLOURS SILK FAN,2011,43,A,101,87.83000000000001,6
15036,ASSORTED COLOURS SILK FAN,2011,44,A,83,87.29,8
15036,ASSORTED COLOURS SILK FAN,2011,45,A,107,97.61000000000001,9
15036,ASSORTED COLOURS SILK FAN,2011,46,A,104,92.72,9
15036,ASSORTED COLOURS SILK FAN,2011,47,A,237,203.91,12
15036,ASSORTED COLOURS SILK FAN,2011,48,A,143,127.49000000000001,9
15036,ASSORTED COLOURS SILK FAN,2011,49,A,14,22.82,6
15039,SANDALWOOD FAN,2010,48,B,15,12.75,2
15039,SANDALWOOD FAN,2010,49,B,1,1.66,1
15039,SANDALWOOD FAN,2010,50,B,4,5.02,2
15039,SANDALWOOD FAN,2011,1,B,5,5.06,2
15039,SANDALWOOD FAN,2011,2,B,30,49.8,1
15039,SANDALWOOD FAN,2011,3,B,4,3.4,1
15039,SANDALWOOD FAN,2011,5,B,17,19.91,3
15039,SANDALWOOD FAN,2011,6,B,4,6.52,3
15039,SANDALWOOD FAN,2011,7,B,4,6.52,1
15039,SANDALWOOD FAN,2011,8,B,1,1.63,1
15039,SANDALWOOD FAN,2011,10,B,2,3.26,2
15039,SANDALWOOD FAN,2011,11,B,8,6.8,2
15039,SANDALWOOD FAN,2011,12,B,17,27.709999999999997,3
15039,SANDALWOOD FAN,2011,13,B,5,8.149999999999999,3
15039,SANDALWOOD FAN,2011,14,B,10,8.5,3
15039,SANDALWOOD FAN,2011,15,B,7,5.95,1
15039,SANDALWOOD FAN,2011,16,B,13,12.61,4
15039,SANDALWOOD FAN,2011,17,B,25,22.029999999999998,2
15039,SANDALWOOD FAN,2011,18,B,340,193.0,3
15039,SANDALWOOD FAN,2011,19,B,65,56.03,3
15039,SANDALWOOD FAN,2011,20,B,21,18.63,2
15039,SANDALWOOD FAN,2011,21,B,151,129.13,5
15039,SANDALWOOD FAN,2011,22,B,44,38.18,4
15039,SANDALWOOD FAN,2011,23,B,369,279.67,8
15039,SANDALWOOD FAN,2011,24,B,10,10.059999999999999,4
15039,SANDALWOOD FAN,2011,25,B,61,52.629999999999995,4
15039,SANDALWOOD FAN,2011,26,B,14,13.459999999999999,3
15039,SANDALWOOD FAN,2011,27,B,117,103.35,5
15039,SANDALWOOD FAN,2011,28,B,30,48.9,2
15039,SANDALWOOD FAN,2011,29,B,92,78.2,3
15039,SANDALWOOD FAN,2011,30,B,2,3.26,2
15039,SANDALWOOD FAN,2011,31,B,25,24.369999999999997,5
15039,SANDALWOOD FAN,2011,32,B,17,15.23,3
15039,SANDALWOOD FAN,2011,33,B,8,6.8,2
15039,SANDALWOOD FAN,2011,34,B,20,17.0,1
15039,SANDALWOOD FAN,2011,35,B,83,134.51,7
15039,SANDALWOOD FAN,2011,36,B,49,41.65,2
15039,SANDALWOOD FAN,2011,37,B,1,0.85,1
15039,SANDALWOOD FAN,2011,38,B,9,10.77,3
15039,SANDALWOOD FAN,2011,39,B,1,1.63,1
15039,SANDALWOOD FAN,2011,40,B,3,4.89,2
15039,SANDALWOOD FAN,2011,41,B,13,11.829999999999998,2
15039,SANDALWOOD FAN,2011,42,B,52,29.759999999999998,2
15039,SANDALWOOD FAN,2011,43,B,51,44.13,2
15039,SANDALWOOD FAN,2011,44,B,15,24.45,1
